| Valid. perplexity  | Dropout 0 | Dropout 0.2 | Dropout 0.4 | Dropout 0.6 | Dropout 0.8 |
| 01 | 345.77 | 344.34 | 354.05 | 351.48 | 377.94 |
| 02 | 256.00 | 264.79 | 258.34 | 266.26 | 314.85 |
| 03 | 214.80 | 217.39 | 215.69 | 230.83 | 277.53 |
| 04 | 200.39 | 193.86 | 199.47 | 208.91 | 262.69 |
| 05 | 191.49 | 185.90 | 184.28 | 197.17 | 251.63 |
| 06 | 194.20 | 180.15 | 177.93 | 190.25 | 244.85 |
| 07 | 184.33 | 176.39 | 172.48 | 182.47 | 239.17 |
| 08 | 191.87 | 179.11 | 168.85 | 177.62 | 235.02 |
| 09 | 192.62 | 168.66 | 166.67 | 174.55 | 230.38 |
| 10 | 192.13 | 171.63 | 164.94 | 171.54 | 225.99 |
| 11 | 191.13 | 170.13 | 165.98 | 170.26 | 223.49 |
| 12 | 190.81 | 169.67 | 158.17 | 167.93 | 220.19 |
| 13 | 190.73 | 169.38 | 157.90 | 165.49 | 217.94 |
| 14 | 190.71 | 169.29 | 158.96 | 163.94 | 216.55 |
| 15 | 190.71 | 169.27 | 157.88 | 164.80 | 215.54 |
| 16 | 190.70 | 169.26 | 158.37 | 158.59 | 212.47 |
| 17 | 190.70 | 169.26 | 157.97 | 158.12 | 211.37 |
| 18 | 190.70 | 169.26 | 157.80 | 157.77 | 211.42 |
| 19 | 190.70 | 169.26 | 157.75 | 157.88 | 205.83 |
| 20 | 190.70 | 169.26 | 157.65 | 156.50 | 204.15 |
| 21 | 190.70 | 169.26 | 157.66 | 156.45 | 203.04 |
| 22 | 190.70 | 169.26 | 157.65 | 156.25 | 201.48 |
| 23 | 190.70 | 169.26 | 157.63 | 156.22 | 200.74 |
| 24 | 190.70 | 169.26 | 157.62 | 156.13 | 200.18 |
| 25 | 190.70 | 169.26 | 157.62 | 156.16 | 199.29 |
| 26 | 190.70 | 169.26 | 157.61 | 155.97 | 198.69 |
| 27 | 190.70 | 169.26 | 157.61 | 156.03 | 197.87 |
| 28 | 190.70 | 169.26 | 157.60 | 156.01 | 197.43 |
| 29 | 190.70 | 169.26 | 157.60 | 155.99 | 196.53 |
| 30 | 190.70 | 169.26 | 157.60 | 155.99 | 196.09 |
